timestamp,table_a,table_b
3/22/2019 11:54:54,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:55:00,Table A is shallower than Table B,Table B is deeper than Table A
3/22/2019 11:55:02,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:55:12,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:55:17,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:55:18,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:55:24,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:55:34,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:55:39,more compact,Table B is deeper than Table A
3/22/2019 11:55:49,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:56:00,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:56:07,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:56:11,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:56:21,Table A is wider than Table B,Table B is deeper than Table A
3/22/2019 11:56:24,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:56:31,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:56:39,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:56:39,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:56:49,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:56:55,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:57:00,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:57:13,Table A is wider than Table B,Table B is narrower than Table A
3/22/2019 11:57:17,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:57:30,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:57:31,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:57:31,Table A is shorter than Table B,Table B is taller than Table A
3/22/2019 11:57:33,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:57:39,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:57:39,Table A is wider than Table B,Table B is narrower than Table A
3/22/2019 11:57:50,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:57:50,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:57:57,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:58:22,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:58:31,Table A is shorter than Table B,Table B is narrower than Table A
3/22/2019 11:58:42,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:58:45,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 11:58:47,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:58:54,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:59:01,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 11:59:15,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:59:26,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:59:31,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:59:42,Table A is wider than Table B,Table B is longer than Table A
